Category,State/Union Territory,Number of Factories - 2008-09,Number of Factories - 2009-10,Number of Factories - 2010-11,Number of Factories - 2011-12,Number of Factories - 2012-13,Number of Factories - 2013-14,Number of Factories - 2014-15,Fixed Capital - 2008-09,Fixed Capital - 2009-10,Fixed Capital - 2010-11,Fixed Capital - 2011-12,Fixed Capital - 2012-13,Fixed Capital - 2013-14,Fixed Capital - 2014-15,Working Capital - 2008-09,Working Capital - 2009-10,Working Capital - 2010-11,Working Capital - 2011-12,Working Capital - 2012-13,Working Capital - 2013-14,Working Capital - 2014-15,Productive Capital - 2008-09,Productive Capital - 2009-10,Productive Capital - 2010-11,Productive Capital - 2011-12,Productive Capital - 2012-13,Productive Capital - 2013-14,Productive Capital - 2014-15,Invested Capital - 2008-09,Invested Capital - 2009-10,Invested Capital - 2010-11,Invested Capital - 2011-12,Invested Capital - 2012-13,Invested Capital - 2013-14,Invested Capital - 2014-15,Number of Workers - 2008-09,Number of Workers - 2009-10,Number of Workers - 2010-11,Number of Workers - 2011-12,Number of Workers - 2012-13,Number of Workers - 2013-14,Number of Workers - 2014-15,Total Persons Engaged - 2008-09,Total Persons Engaged - 2009-10,Total Persons Engaged - 2010-11,Total Persons Engaged - 2011-12,Total Persons Engaged - 2012-13,Total Persons Engaged - 2013-14,Total Persons Engaged - 2014-15,Wages to Workers - 2008-09,Wages to Workers - 2009-10,Wages to Workers - 2010-11,Wages to Workers - 2011-12,Wages to Workers - 2012-13,Wages to Workers - 2013-14,Wages to Workers - 2014-15,Total Emoluments - 2008-09,Total Emoluments - 2009-10,Total Emoluments - 2010-11,Total Emoluments - 2011-12,Total Emoluments - 2012-13,Total Emoluments - 2013-14,Total Emoluments - 2014-15,Fuels Consumed - 2008-09,Fuels Consumed - 2009-10,Fuels Consumed - 2010-11,Fuels Consumed - 2011-12,Fuels Consumed - 2012-13,Fuels Consumed - 2013-14,Fuels Consumed - 2014-15,Materials Consumed - 2008-09,Materials Consumed - 2009-10,Materials Consumed - 2010-11,Materials Consumed - 2011-12,Materials Consumed - 2012-13,Materials Consumed - 2013-14,Materials Consumed - 2014-15,Total Inputs - 2008-09,Total Inputs - 2009-10,Total Inputs - 2010-11,Total Inputs - 2011-12,Total Inputs - 2012-13,Total Inputs - 2013-14,Total Inputs - 2014-15,Products and By-products - 2008-09,Products and By-products - 2009-10,Products and By-products - 2010-11,Products and By-products - 2011-12,Products and By-products - 2012-13,Products and By-products - 2013-14,Products and By-products - 2014-15,Total Output - 2008-09,Total Output - 2009-10,Total Output - 2010-11,Total Output - 2011-12,Total Output - 2012-13,Total Output - 2013-14,Total Output - 2014-15,Depreciation - 2008-09,Depreciation - 2009-10,Depreciation - 2010-11,Depreciation - 2011-12,Depreciation - 2012-13,Depreciation - 2013-14,Depreciation - 2014-15,Net Value Added - 2008-09,Net Value Added - 2009-10,Net Value Added - 2010-11,Net Value Added - 2011-12,Net Value Added - 2012-13,Net Value Added - 2013-14,Net Value Added - 2014-15,Rent Paid For Fixed Assets - 2008-09,Rent Paid For Fixed Assets - 2009-10,Rent Paid For Fixed Assets - 2010-11,Rent Paid For Fixed Assets - 2011-12,Rent Paid For Fixed Assets - 2012-13,Rent Paid For Fixed Assets - 2013-14,Rent Paid For Fixed Assets - 2014-15,Interest Paid - 2008-09,Interest Paid - 2009-10,Interest Paid - 2010-11,Interest Paid - 2011-12,Interest Paid - 2012-13,Interest Paid - 2013-14,Interest Paid - 2014-15,Gross Fixed Capital Formation - 2008-09,Gross Fixed Capital Formation - 2009-10,Gross Fixed Capital Formation - 2010-11,Gross Fixed Capital Formation - 2011-12,Gross Fixed Capital Formation - 2012-13,Gross Fixed Capital Formation - 2013-14,Gross Fixed Capital Formation - 2014-15,"Value of Addition In Stock - Materials, Fuels - 2008-09","Value of Addition In Stock - Materials, Fuels - 2009-10","Value of Addition In Stock - Materials, Fuels - 2010-11","Value of Addition In Stock - Materials, Fuels - 2011-12","Value of Addition In Stock - Materials, Fuels - 2012-13","Value of Addition In Stock - Materials, Fuels - 2013-14","Value of Addition In Stock - Materials, Fuels - 2014-15",Value of Addition In Stock - Semi Finished - 2008-09,Value of Addition In Stock - Semi Finished - 2009-10,Value of Addition In Stock - Semi Finished - 2010-11,Value of Addition In Stock - Semi Finished - 2011-12,Value of Addition In Stock - Semi Finished - 2012-13,Value of Addition In Stock - Semi Finished - 2013-14,Value of Addition In Stock - Semi Finished - 2014-15,Value of Addition In Stock - Finished Goods - 2008-09,Value of Addition In Stock - Finished Goods - 2009-10,Value of Addition In Stock - Finished Goods - 2010-11,Value of Addition In Stock - Finished Goods - 2011-12,Value of Addition In Stock - Finished Goods - 2012-13,Value of Addition In Stock - Finished Goods - 2013-14,Value of Addition In Stock - Finished Goods - 2014-15,Value of Addition In Stock - Total - 2008-09,Value of Addition In Stock - Total - 2009-10,Value of Addition In Stock - Total - 2010-11,Value of Addition In Stock - Total - 2011-12,Value of Addition In Stock - Total - 2012-13,Value of Addition In Stock - Total - 2013-14,Value of Addition In Stock - Total - 2014-15
State,Andhra Pradesh,16903,17153,26286,27708,15358,15719,16012,74400,130281,160109,253939,130818,148626,148244,22638,28345,40547,52543,19833,22224,5681,97038,158626,200656,306482,150652,170851,153926,109607,174149,226144,325942,166877,194640,195906,909828,941565,1040473,1110866,406048,415127,424075,1093554,1131149,1300892,1362788,503615,522057,528417,4874,5744,7641,9085,4251,5219,5766,8894,10758,14019,16566,7392,9113,10291,10299,12367,15688,18713,13055,14416,15164,139696,143881,208189,237578,132526,180969,163531,171651,184695,275070,311562,175809,235587,216898,191616,205427,294940,340192,177309,224840,219572,212403,234462,343560,390934,207128,262684,251919,5281,10557,10711,12319,7497,8469,6939,35471,39210,57779,67053,23822,18628,28081,670,1273,1456,1683,822,631,663,5010,5554,7429,9760,6402,8141,7411,18453,26469,23309,23333,14013,13746,15173,2439,359,8236,7371,-685,3623,-476,387,1579,1022,2315,359,278,183,1420,1212,5767,2040,1114,2029,1603,4246,3150,14026,11726,788,5930,1309
State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,552,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,NA,2925,NA,NA,NA,NA,NA,NA,3684,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,776,NA,NA,NA,NA,NA,NA,987,NA,NA,NA,NA,NA,NA,1336,NA,NA,NA,NA,NA,NA,1349,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,21
State,Assam,2211,2247,2795,3019,3303,3518,3717,9404,9801,10747,15157,13110,14446,16169,3360,5196,7163,4743,5889,7135,11138,12764,14997,17910,19901,18999,21581,27307,13619,14668,17399,21859,19271,21357,25829,126338,125759,141274,150065,140896,157687,163348,149256,148731,166657,180531,167835,186483,195567,544,620,886,923,954,1332,1239,970,1146,1544,1666,1776,2127,2267,1570,1805,1493,2033,2112,3336,2686,23697,25049,27965,38667,34292,36436,41370,32978,30901,34705,45221,42434,48401,51888,32449,33300,38863,49581,45268,54376,57532,36768,36672,42367,52928,49852,57617,61761,776,708,988,1158,1126,1199,1687,3014,5062,6673,6548,6292,8018,8186,40,45,79,84,53,58,74,463,397,511,797,945,926,895,934,1347,1698,3828,1504,1919,1990,115,-382,467,493,-152,376,237,80,203,225,48,-56,3,-92,125,884,647,409,-263,240,206,320,706,1339,951,-471,618,351
State,Bihar,1775,1918,2805,3231,3345,3419,3529,3033,4452,5262,7547,6467,8037,9945,1471,951,2471,-236,2483,-558,3492,4503,5404,7733,7311,8950,7480,13436,5849,7557,8822,12197,11873,13917,15897,62864,73443,90985,108963,100512,96122,125557,73659,86620,106213,126592,116396,113594,146109,290,318,583,480,542,599,815,445,535,856,850,1038,1106,1406,1600,1649,1818,2495,2769,934,1244,23279,21243,27603,48414,43482,44046,43505,26058,25577,31208,53964,48723,49456,51954,26998,25853,34278,55354,49805,52656,48254,29540,28255,36051,60167,51680,55296,58759,298,356,428,559,1654,685,981,3184,2321,4415,5644,1304,5155,5824,23,39,23,42,34,35,67,130,193,205,293,397,412,569,248,946,1130,1655,1044,918,1348,153,443,-43,317,381,290,-127,27,125,117,88,252,-87,-61,19,182,553,478,600,591,-319,200,750,627,883,1233,794,-508
State,Chhattisgarh,1919,1976,2358,2472,2441,2534,2809,28189,33721,34746,50632,60308,64081,77935,30836,32773,37676,38556,49947,50358,70223,59026,66494,72422,89188,110254,114438,148158,38018,44121,48374,67069,79170,80916,97096,126890,116294,134813,138269,137950,131032,142799,172044,154518,178581,185985,173076,166236,179324,911,965,1300,1527,2366,2526,2847,3092,2345,3503,3932,4526,4836,5448,6730,5808,6171,7754,8796,8901,11165,42167,36738,47657,57501,61837,59765,68732,57690,52298,64081,77495,85149,81531,97515,68392,58622,69531,82747,90836,94267,105560,76405,67781,79545,93014,103528,105991,119776,2101,2203,2597,2913,3162,3206,4111,16614,13281,12867,12605,15217,21254,18151,391,270,498,217,522,324,490,1533,1351,1751,2333,2756,2953,4724,7257,7289,6589,10615,10723,12323,14070,661,788,1752,1258,735,612,-1252,146,13,170,88,15,63,138,894,66,1169,580,222,3,442,1700,867,3091,1926,973,677,-673
State,Goa,519,520,583,586,597,618,635,5265,6564,6221,8606,8278,7934,8871,2384,7919,5142,3539,1779,3488,6227,7649,14483,11363,12145,10057,11422,15098,9493,13212,11724,15008,13395,13196,15185,40545,38891,36076,44710,37338,39618,45052,53107,51697,53152,65974,55831,56684,65610,365,493,562,634,564,680,817,771,1083,1265,1464,1496,1678,2243,1404,873,1237,1373,1378,1335,1231,15867,18015,18796,21395,18574,19321,23441,22098,23225,25940,29437,25272,25397,31798,23157,26487,27059,36112,31014,30115,39985,27526,29435,32494,42102,36597,33791,46541,526,569,727,883,725,755,1061,4902,5640,5828,11782,10600,7640,13682,134,128,208,79,90,78,135,325,316,330,437,401,450,493,1075,1091,1280,1746,1961,920,1407,413,190,209,637,-131,397,469,165,67,100,135,-62,112,198,262,-73,334,238,-59,-36,157,840,184,642,1010,-253,473,824
State,Gujarat,14863,15576,21282,22220,22587,22876,23433,172367,240381,271966,312746,326125,382654,437702,56687,58956,79207,77377,94994,85524,63253,229054,299337,351173,390123,421119,468178,500954,246911,342810,399606,457048,488473,548132,606559,871459,890600,992050,1059789,1046462,1049725,1103204,1125543,1159239,1295334,1383773,1363628,1372669,1462206,5934,6797,8555,10327,11320,12092,14261,13039,15589,19475,23162,24905,27734,33612,24304,22909,25856,35681,37919,39799,45563,358270,456040,597375,752615,833014,904765,855186,433324,534388,697161,887926,969543,1075101,1073674,461182,590109,729865,905910,1025619,1110438,1150875,508088,642658,806784,998413,1116395,1230642,1270125,14346,18242,20175,22796,27976,27120,26783,60417,90028,89448,87691,118876,128420,169668,803,882,979,1351,918,980,1463,7420,9561,11074,15112,18755,24058,25870,31351,38580,44823,52094,53474,74214,99649,6213,14340,9416,15456,10771,-753,-10314,1472,7738,7542,3557,2373,4088,-808,1317,3605,6203,4099,5439,-368,1451,9002,25683,23161,23112,18583,2967,-9670
State,Haryana,4450,4640,5967,6142,6163,6117,8243,37065,40224,51514,53856,78396,70651,87948,8704,12988,28863,30349,21327,20370,24786,45769,53213,80377,84204,99723,91021,112734,61334,64727,86633,92311,117705,112474,135903,377322,463570,427346,436925,431425,467741,580933,607527,584762,546260,582372,566595,612419,744026,2737,4188,3964,4407,4753,5927,7137,6312,8723,8998,10964,12077,14608,17236,4563,5171,6405,6597,8005,18663,10815,96741,112893,146122,166946,190806,189952,239112,120172,144726,185329,208256,232825,251791,308701,129248,152967,188028,219064,248590,259349,312730,144336,177107,215269,243956,278077,296403,367485,3810,4406,5261,5847,6420,7516,9987,20354,27975,24679,29853,38832,37096,48796,801,763,636,836,3129,897,837,3241,3148,3747,4940,5959,6055,7096,8669,8178,10316,10337,25214,11218,13929,1914,2284,5648,2033,2272,2038,-50,39,178,557,72,142,589,804,228,553,1242,1454,1125,1456,457,2181,3015,7448,3560,3539,4083,1211
State,Himachal Pradesh,1294,1545,2210,2489,2654,2806,2784,21892,26714,34441,44490,40092,47691,48755,7880,8695,9421,6159,12692,14685,16403,29772,35409,43862,50649,52784,62376,65158,28743,33599,46103,55202,53100,62056,63451,84497,99513,119818,116290,133727,132706,147796,110242,128665,156396,163440,184833,194608,208781,512,649,945,1075,1289,1569,1931,1339,1613,2459,3260,3686,4570,5589,1884,2257,3332,3177,4059,3998,4384,22841,28312,40135,45712,58049,60313,68225,27632,34533,51206,55975,70382,73170,87918,41385,48233,66962,77345,92149,96092,117952,42279,50071,71843,80797,95611,99547,123209,1315,1782,2429,3210,2982,3612,4267,13332,13755,18209,21612,22247,22766,31024,81,122,214,175,541,251,404,919,912,1448,2088,2371,2822,3618,1799,2589,5283,6667,4270,2816,1954,839,988,1331,-503,1287,600,-10,310,237,233,-644,259,158,-272,388,9,639,-128,585,309,451,1537,1233,2203,-1275,2130,1067,169
State,Jammu & Kashmir,649,626,795,861,955,943,965,2437,2861,3458,4401,5248,5177,5779,2168,1967,2924,3047,1770,2310,3185,4604,4828,6382,7448,7018,7487,8964,3989,4660,6129,7477,9177,10089,9061,45033,44242,43997,53018,49050,52886,52037,54581,53023,55285,63704,60658,66829,65022,215,255,282,368,415,471,501,422,434,507,646,765,911,978,360,460,443,540,749,761,597,8746,8686,12311,13700,16784,15754,15674,10099,10336,15955,18002,20125,18718,18251,12621,12359,15995,18990,22130,21732,22472,13494,13221,19024,22429,24602,23372,24068,187,254,290,375,506,505,632,3208,2631,2779,4052,3971,4149,5186,12,28,12,15,30,33,17,246,264,363,347,654,760,368,513,809,506,705,552,347,555,23,189,272,-150,239,97,244,-1,-67,212,37,-5,-42,26,16,80,129,118,83,591,177,38,201,613,5,317,646,446
State,Jharkhand,1846,2032,2504,2556,2697,2688,2738,30571,34598,63641,67426,67285,71349,75665,4981,1705,18326,11930,10246,8822,1199,35552,36303,81967,79356,77530,80171,76865,39920,44751,88800,84796,89370,91949,103096,122524,104951,128410,135795,127287,130450,143595,163625,141447,188090,196793,188046,187877,182085,1710,1573,1854,2284,2495,2896,3437,3506,3139,4304,5161,5578,6097,6438,8885,8109,10542,13747,14607,14252,10266,27301,34136,46898,55762,56814,54700,66160,42618,49846,74609,82856,83586,83353,94496,51779,60981,81613,93311,102538,99480,112172,59108,67129,97207,103053,108512,107794,121087,2190,2180,3079,3409,4013,4569,5390,14300,15103,19518,16789,20913,19872,21201,67,97,190,268,243,297,465,1445,2290,2397,2865,3495,4032,5459,9109,8187,15486,18375,9894,8680,5018,996,613,2031,1242,-1601,131,2516,398,-180,134,463,697,261,499,405,174,4245,1535,2948,-221,1169,1799,607,6409,3240,2044,171,4184
State,Karnataka,8451,8541,10722,11460,11753,12107,12566,86695,96382,108686,131921,145151,167311,169023,-7354,7935,47254,48922,48751,53842,45737,79341,104318,155940,180843,193903,221153,214761,115587,126890,153446,183620,207565,233400,233622,598070,584140,609005,706332,665597,705941,748372,770133,886706,781716,905946,862203,927392,974022,4254,4861,5932,7060,8943,9734,10849,9581,10509,13254,15358,19148,20699,23983,5921,6826,9432,10127,10288,13049,13198,141931,154470,190127,224937,269175,292166,301768,177044,189722,237017,282333,335597,377027,390051,197374,204701,251290,351854,346620,386111,396666,225813,233254,285950,394840,399509,444700,461866,6237,6832,8072,9343,10433,12339,14819,42533,36700,40861,103165,53479,55334,56996,931,1002,1215,1311,1377,1548,1794,3745,3640,4739,6194,6856,8685,9124,23203,26694,26002,31335,27860,21475,20058,876,2536,5620,5929,608,3978,-2699,59,703,1098,657,885,1281,843,1124,1886,2855,3072,4382,2282,2033,2058,5125,9572,9658,5876,7542,177
State,Kerala,5867,5907,6917,7031,7129,7132,7320,11893,12552,15263,15461,18704,23430,29350,2725,-14540,8326,8235,13353,5882,8524,14618,-1988,23589,23696,32056,29312,37873,19281,22418,26953,28645,33612,38647,43655,331043,315423,327645,330402,319582,290055,294325,381558,365767,381340,393425,380498,351662,384058,1576,1735,2154,2421,2821,3052,3496,2693,3039,3726,4202,4934,5413,6280,3290,3129,3816,5029,5549,5631,5239,51914,136762,60645,80041,87207,96985,91331,62084,147166,72010,100790,108431,115791,114449,64565,148845,74695,96778,106542,117132,113741,70905,155451,82050,111587,121791,131054,128664,1116,1088,1306,1531,1645,1803,2240,7705,7197,8734,9266,11715,13460,11975,118,134,130,151,194,166,208,842,1321,950,1125,1383,1425,1744,2524,2851,2186,2234,2669,7793,6284,-1069,2071,1130,1010,498,178,35,139,179,389,-235,266,26,-214,-125,157,619,958,363,242,-284,-1055,2407,2138,1733,1127,446,-462
